date,ticker,id,Open,High,Low,Close,Volume,Adjusted,Error_message
02-27-2020,RPM,7,68.18,69.150002,66.040001,66.080002,632300,66.080002,None
03-23-2020,NWS,14,8.66,8.82,7.92,8.14,2210200,8.14,None
03-02-2020,CZR,19,8.66,8.82,7.92,8.14,2210200,8.14,"Error in getSymbols.yahoo(Symbols = ""CZR"", env = <environment>, verbose = FALSE,  : 
  Unable to import “CZR”.
CZR download failed after two attempts. Error message:
HTTP error 404.
"
03-04-2020,KR,24,8.66,8.82,7.92,8.14,2210200,8.14,"Error in getSymbols.yahoo(Symbols = ""KR"", env = <environment>, verbose = FALSE,  : 
  Unable to import “KR”.
KR download failed after two attempts. Error message:
HTTP error 404.
"
03-04-2020,KR,29,8.66,8.82,7.92,8.14,2210200,8.14,"Error in getSymbols.yahoo(Symbols = ""KR"", env = <environment>, verbose = FALSE,  : 
  Unable to import “KR”.
KR download failed after two attempts. Error message:
HTTP error 404.
"
03-05-2020,URBN,34,20.74,20.77,19.43,19.73,3896300,19.73,None
03-10-2020,MSM,41,55.880001,56.57,50.25,53.759998,1788500,53.09034,None
03-11-2020,GEL,46,5.27,5.98,5.06,5.78,3870700,5.636694,None
03-13-2020,ENB,51,29.26,30.98,25.709999,30.93,9964700,30.93,None
03-16-2020,KR,56,29.26,30.98,25.709999,30.93,9964700,30.93,"Error in getSymbols.yahoo(Symbols = ""KR"", env = <environment>, verbose = FALSE,  : 
  Unable to import “KR”.
KR download failed after two attempts. Error message:
HTTP error 404.
"
03-16-2020,LYV,61,35,39.23,34.849998,36.310001,9548800,36.310001,None
03-17-2020,PG,66,35,39.23,34.849998,36.310001,9548800,36.310001,"Error in getSymbols.yahoo(Symbols = ""PG"", env = <environment>, verbose = FALSE,  : 
  Unable to import “PG”.
PG download failed after two attempts. Error message:
HTTP error 404.
"
03-17-2020,SYY,71,38.02,38.380001,32.040001,35.060001,17467700,34.683193,None
03-18-2020,GM,76,18.83,19.049999,14.33,16.799999,39591100,16.799999,None
03-18-2020,KR,81,18.83,19.049999,14.33,16.799999,39591100,16.799999,"Error in getSymbols.yahoo(Symbols = ""KR"", env = <environment>, verbose = FALSE,  : 
  Unable to import “KR”.
KR download failed after two attempts. Error message:
HTTP error 404.
"
03-19-2020,SBUX,86,56.23,63.360001,53.549999,61.41,25167400,61.064903,None
03-20-2020,BOIVF,91,2.82,2.86,2.65,2.8,989100,2.8,None
03-20-2020,PAGP,96,2.82,2.86,2.65,2.8,989100,2.8,"Error in getSymbols.yahoo(Symbols = ""PAGP"", env = <environment>, verbose = FALSE,  : 
  Unable to import “PAGP”.
PAGP download failed after two attempts. Error message:
HTTP error 404.
"
03-23-2020,SBUX,101,57.23,57.439999,54,56.549999,24905800,56.232216,None
03-24-2020,BOIVF,106,2.75,2.84,2.71,2.81,1161100,2.81,None
03-26-2020,BOIVF,111,2.75,2.89,2.75,2.88,695300,2.88,None
03-27-2020,VIAC,116,2.75,2.89,2.75,2.88,695300,2.88,"Error in getSymbols.yahoo(Symbols = ""VIAC"", env = <environment>, verbose = FALSE,  : 
  Unable to import “VIAC”.
VIAC download failed after two attempts. Error message:
HTTP error 404.
"
03-30-2020,GPK,121,2.75,2.89,2.75,2.88,695300,2.88,"Error in getSymbols.yahoo(Symbols = ""GPK"", env = <environment>, verbose = FALSE,  : 
  Unable to import “GPK”.
GPK download failed after two attempts. Error message:
HTTP error 404.
"
03-23-2020,CEF,127,2.75,2.89,2.75,2.88,695300,2.88,"Error in getSymbols.yahoo(Symbols = ""CEF"", env = <environment>, verbose = FALSE,  : 
  Unable to import “CEF”.
CEF download failed after two attempts. Error message:
HTTP error 404.
"
03-24-2020,VOD,133,2.75,2.89,2.75,2.88,695300,2.88,"Error in getSymbols.yahoo(Symbols = ""VOD"", env = <environment>, verbose = FALSE,  : 
  Unable to import “VOD”.
VOD download failed after two attempts. Error message:
HTTP error 404.
"
03-24-2020,JPM,138,84.900002,90.099998,82.900002,88.43,34363200,87.520538,None
02-20-2020,ABBV,143,93.93,94.389999,92.589996,94.230003,5446200,92.845306,None
03-09-2020,AIZ,148,113,115.5,107.739998,109.050003,723300,109.050003,None
03-04-2020,AIG,153,113,115.5,107.739998,109.050003,723300,109.050003,"Error in getSymbols.yahoo(Symbols = ""AIG"", env = <environment>, verbose = FALSE,  : 
  Unable to import “AIG”.
AIG download failed after two attempts. Error message:
HTTP error 404.
"
03-02-2020,DD,158,43.060001,44.990002,42.509998,44.950001,9803300,44.950001,None
03-06-2020,BKNG,163,1603.089966,1684,1584,1612.089966,1077500,1612.089966,None
03-02-2020,ROST,168,109.220001,112,105.949997,111.980003,3138100,111.636215,None
02-26-2020,ARNA,173,47.93,48.900002,46.330002,46.790001,768900,46.790001,None
02-24-2020,IPHI,178,78.809998,80.599998,77.019997,78.260002,954100,78.260002,None
02-26-2020,ICE,183,78.809998,80.599998,77.019997,78.260002,954100,78.260002,"Error in getSymbols.yahoo(Symbols = ""ICE"", env = <environment>, verbose = FALSE,  : 
  Unable to import “ICE”.
ICE download failed after two attempts. Error message:
HTTP error 404.
"
03-26-2020,MSFT,188,148.399994,156.660004,148.369995,156.110001,64568100,156.110001,None
03-26-2020,BA,193,172.289993,186.479996,167.179993,180.550003,63267300,180.550003,None
