date,ticker,id,Open,High,Low,Close,Volume,Adjusted,Error_message
02-27-2020,WCMIX,6,16.17,16.17,16.17,16.17,0,16.17,None
03-31-2020,MRK,13,81.18,82.230003,80.169998,81.18,19345000,81.18,None
03-02-2020,CZR,18,6.55,6.62,5.99,6.42,20631500,6.42,None
03-04-2020,BAC,23,19.93,20.35,19.51,19.77,83961300,19.77,None
03-04-2020,GM,28,19.5,20.17,18.99,19.26,17467100,19.26,None
03-05-2020,BRK-B,33,175,180.309998,174.229996,179.729996,7271900,179.729996,None
03-09-2020,BRK-B,40,184.610001,186.410004,180.490005,185.240005,9935500,185.240005,None
03-10-2020,EAF,45,8,8.28,7.81,7.86,1364100,7.86,None
03-13-2020,TRP,50,8,8.28,7.81,7.86,1364100,7.86,"Error in getSymbols.yahoo(Symbols = ""TRP"", env = <environment>, verbose = FALSE,  : 
  Unable to import “TRP”.
TRP download failed after two attempts. Error message:
HTTP error 404.
"
03-16-2020,AXTA,55,18.370001,18.57,17.68,18.190001,1730200,18.190001,None
03-16-2020,FOX,60,25.459999,25.51,24.32,25.4,1554400,25.4,None
03-17-2020,AXTA,65,18.6,18.799999,18.264999,18.360001,2783600,18.360001,None
03-17-2020,CTSH,70,53.900002,54.150002,53.029999,54.07,5486600,54.07,None
03-17-2020,HUN,75,16.879999,16.98,16.200001,16.42,1952300,16.42,None
03-18-2020,BAC,80,22.16,22.65,21.91,22.190001,99082200,22.190001,None
03-18-2020,LYV,85,39.349998,40.630001,37.990002,38.470001,4396600,38.470001,None
03-19-2020,CLX,90,197.449997,198.75,194.259995,196.490005,1831700,195.407639,None
03-20-2020,NWSA,95,8.65,9.04,8.65,8.9,2435900,8.9,None
03-23-2020,BOIVF,100,2.63,2.75,2.63,2.72,108800,2.72,None
03-24-2020,SBUX,105,73.400002,73.959999,71.739998,72.720001,10345800,72.311348,None
03-26-2020,TRP,110,45.130001,45.77,44.779999,45.459999,1588500,45.459999,None
03-27-2020,BOIVF,115,2.53,2.6,2.5,2.6,81800,2.6,None
03-27-2020,MU,120,43.799999,44.32,42.98,44.16,16592800,44.16,None
