date,ticker,id,Open,High,Low,Close,Volume,Adjusted,Error_message
03-11-2020,ILMN,3,214.419998,224.990005,196.779999,209.199997,1885500,209.199997,None
03-20-2020,BAM,8,27.733334,29.313334,26.913334,28.18,5249300,28.18,None
03-02-2020,WPX,15,4.51,4.54,3.08,3.52,42831500,3.52,None
03-02-2020,BAC,20,22.23,23.49,21.51,21.93,145196000,21.93,None
03-04-2020,URBN,25,16.709999,16.99,15.51,15.84,3863800,15.84,None
03-05-2020,URBN,30,14.6,14.69,13.64,14.62,3833900,14.62,None
03-06-2020,BRK-B,36,187.449997,196.5,178.410004,196.399994,14859100,196.399994,None
03-10-2020,M,42,6.8,6.86,6,6.7,28841000,6.7,None
03-13-2020,ENB,47,25.639999,27.889999,25.27,25.629999,9287700,25.629999,None
03-13-2020,KR,52,34.25,34.25,31.030001,31.77,21979200,31.77,None
03-16-2020,KR,57,31.780001,32.720001,30.77,31.08,13199900,31.08,None
03-16-2020,HUN,62,12.85,13.29,12.27,12.87,2874800,12.87,None
03-17-2020,PEP,67,109.93,114.43,109.370003,113.839996,11447000,113.839996,None
03-17-2020,MSM,72,48.810001,51.470001,47.619999,50.82,798700,50.186966,None
03-18-2020,LYV,77,44.02,46.639999,40.580002,45.900002,7807500,45.900002,None
03-18-2020,UHAL,82,277.820007,286.519989,264.709991,282.679993,65400,282.679993,None
03-19-2020,KR,87,28,29.18,27.33,29,18238900,29,None
03-20-2020,SYY,92,50.029999,53.119999,48.880001,50.450001,9237800,49.907787,None
03-20-2020,KR,97,29.290001,29.9,28.549999,29.129999,14993000,29.129999,None
03-23-2020,BAC,102,21.65,22.35,21.27,22.040001,80449100,22.040001,None
03-25-2020,BOIVF,107,2.65,2.69,2.59,2.64,243700,2.64,None
03-26-2020,WMB,112,13.89,15.21,13.6,14.38,23678200,14.38,None
03-27-2020,MU,117,40.970001,41.860001,40.549999,41.220001,28522400,41.220001,None
03-30-2020,MU,122,43.349998,46.689999,43.34,46.369999,37899100,46.369999,None
03-27-2020,DIS,128,96.309998,96.919998,92.709999,93.879997,14814600,93.879997,None
03-24-2020,MPC,134,25.530001,25.639999,22.690001,23.620001,11631300,23.620001,None
02-21-2020,DD,139,43.119999,43.700001,42.060001,42.900002,13572100,42.900002,None
02-20-2020,DOCU,144,80.190002,86.440002,76.18,83.209999,2854900,83.209999,None
03-09-2020,EMR,149,44.919998,48.459999,43.439999,46.959999,10564100,46.959999,None
03-04-2020,PANW,154,164.080002,165.669998,155.279999,157.529999,1987400,157.529999,None
02-28-2020,DD,159,41.040001,42.119999,39.91,40.5,14571900,40.5,None
03-09-2020,TJX,164,45.919998,45.93,40.810001,41.049999,13684100,41.049999,None
02-26-2020,CME,169,217.699997,224.559998,214.809998,223.630005,2348400,222.751038,None
02-27-2020,AMZN,174,1933,1960.719971,1910,1924.030029,4748200,1924.030029,None
02-24-2020,FB,179,194.029999,196.570007,188.850006,196.440002,24949000,196.440002,None
03-11-2020,ICE,184,72.720001,73.580002,66.040001,70.080002,8145300,70.080002,None
03-24-2020,MSFT,189,159.399994,164.779999,156.559998,157.710007,77927200,157.710007,None
03-24-2020,WMT,194,114.309998,116.190002,112.639999,113.620003,8752800,113.122398,None
03-02-2020,NVDA,200,239.899994,259.399994,238.179993,245.440002,15354000,245.440002,None
03-06-2020,AAPL,205,264.890015,279.920013,252.949997,277.970001,92683000,277.219574,None
03-09-2020,PG,210,101.75,115.949997,101,108.5,17367400,107.781204,None
03-09-2020,AAPL,215,241.949997,259.079987,240,242.210007,80605900,241.556122,None
03-09-2020,MMM,220,129.860001,135.5,128.009995,130.910004,7440800,130.910004,None
03-10-2020,XOM,226,35.209999,37.380001,34.200001,36.810001,41204400,36.109856,None
01-14-2020,GS,232,247.210007,248.850006,245.600006,245.699997,2492400,244.206848,None
01-31-2020,ROST,239,118.019997,118.029999,116.540001,117.43,1059000,117.069473,None
01-29-2020,CMCSA,244,44.650002,45.139999,44.48,44.59,20332100,44.301025,None
02-14-2020,ORCL,252,55.080002,55.34,54.439999,54.68,9078600,54.421467,None
02-11-2020,ORLY,257,393.230011,399.359985,391.309998,395.98999,1095300,395.98999,None
02-07-2020,TCEHY,262,53.310001,53.439999,53.060001,53.299999,2513300,53.299999,None
02-06-2020,KL,267,36.43,37.119999,36.419998,36.689999,2107200,36.546635,None
02-05-2020,DFS,272,76.169998,76.389999,75.440002,76.040001,1608800,75.59597,None
03-04-2020,WFC,278,34.049999,34.27,32.009998,32.330002,44769500,31.68618,None
02-22-2020,HQL,285,34.049999,34.27,32.009998,32.330002,44769500,31.68618,"Error in getSymbols.yahoo(Symbols = ""HQL"", env = <environment>, verbose = FALSE,  : 
  Unable to import “HQL”.
HQL download failed after two attempts. Error message:
HTTP error 404.
"
02-28-2020,DD,294,41.040001,42.119999,39.91,40.5,14571900,40.5,None
02-28-2020,CZR,299,11.1,11.41,10.81,11.09,34694100,11.09,None
02-27-2020,DAL,304,46.5,46.57,44.419998,45.009998,22918800,45.009998,None
02-27-2020,CZR,309,11.77,11.82,11.2,11.25,40066100,11.25,None
02-26-2020,CZR,314,12.1,12.17,11.83,11.95,49180100,11.95,None
02-26-2020,VIAC,319,23.43,23.49,22.5,23.1,17083100,22.756506,None
02-25-2020,GPK,325,13.85,14.27,13.76,13.96,8086500,13.879953,None
02-25-2020,T,330,37.259998,37.959999,35.869999,36.299999,63808000,35.67247,None
02-24-2020,T,335,35.369999,37.419998,35.290001,37.18,68432800,36.537262,None
02-24-2020,CZR,340,12.71,12.79,12.04,12.4,44312800,12.4,None
02-07-2020,HBI,345,14.3,14.54,14.23,14.3,6485600,14.3,None
02-10-2020,ET,350,14.3,14.54,14.23,14.3,6485600,14.3,"Error in getSymbols.yahoo(Symbols = ""ET"", env = <environment>, verbose = FALSE,  : 
  Unable to import “ET”.
ET download failed after two attempts. Error message:
HTTP error 404.
"
02-19-2020,WMB,355,19.389999,19.83,19.110001,19.219999,17381100,18.740099,None
02-19-2020,DCP,360,17.35,17.469999,16.51,16.51,1891500,15.868036,None
02-20-2020,WES,365,13.08,13.28,12.48,12.61,2607300,12.15871,None
02-21-2020,PSXP,370,53.799999,55,50.98,54.369999,1058100,53.3447,None
01-27-2020,PYPL,379,114.300003,117.239998,114.050003,116.510002,8236600,116.510002,None
01-14-2020,CMCSA,388,47.48,47.48,46.790001,47.299999,19141600,46.993462,None
01-08-2020,PRU,393,94.080002,95,93.82,94.32,2023900,93.234383,None
01-29-2020,ROST,400,117.07,119.080002,117.07,118.739998,1715700,118.37545,None
01-21-2020,DFS,405,76,76,74.120003,75.230003,4336800,74.790703,None
01-30-2020,BAC,414,34.939999,35.009998,34.599998,34.669998,39511500,34.45018,None
01-27-2020,GPK,419,15.72,15.89,15.7,15.77,3764900,15.679576,None
01-23-2020,CDLX,424,84.330002,86.389999,81.449997,84.660004,496000,84.660004,None
01-13-2020,URBN,429,84.330002,86.389999,81.449997,84.660004,496000,84.660004,"Error in getSymbols.yahoo(Symbols = ""URBN"", env = <environment>, verbose = FALSE,  : 
  Unable to import “URBN”.
URBN download failed after two attempts. Error message:
HTTP error 404.
"
01-06-2020,ALB,434,72.949997,76,72.889999,75.860001,2668000,75.443192,None
01-10-2020,NFLX,442,341,341.570007,337.380005,339.670013,6066500,339.670013,None
01-14-2020,BABA,447,222.449997,222.600006,220.729996,222.259995,15831100,222.259995,None
12-11-2019,C,469,77.699997,78.330002,77.660004,77.919998,12643000,76.593811,None
12-31-2019,BAH,475,73.639999,74.18,73.220001,73.410004,841900,73.110847,None
12-19-2019,ACA,480,45.209999,45.459999,44.764999,45.09,186400,44.985294,None
12-16-2019,URBN,485,27.809999,27.84,26.91,27.41,1918200,27.41,None
12-12-2019,IP,490,46.619999,46.66,45.799999,45.970001,4022500,45.417717,None
12-09-2019,TRGP,495,37.41,37.919998,37.139999,37.509998,2029900,36.313297,None
12-31-2019,BIV,500,87.709999,87.730003,87.580002,87.580002,639200,86.834488,None
12-23-2019,REZI,505,11.75,11.93,11.65,11.74,1080300,11.74,None
12-17-2019,UAA,512,21.559999,21.67,21.49,21.639999,2122800,21.639999,None
02-04-2019,EDIT,521,19.85,20.5,19.75,19.969999,531100,19.969999,None
11-19-2019,PRU,540,93.639999,93.93,93.379997,93.830002,2003400,92.750031,None
11-19-2019,NDAQ,545,104.809998,105.190002,104.379997,104.830002,535000,103.861923,None
11-21-2019,AM,553,104.809998,105.190002,104.379997,104.830002,535000,103.861923,"Error in getSymbols.yahoo(Symbols = ""AM"", env = <environment>, verbose = FALSE,  : 
  Unable to import “AM”.
AM download failed after two attempts. Error message:
HTTP error 404.
"
11-14-2019,SPY,558,310.890015,311.01001,309.390015,310.269989,54664700,306.947052,None
11-12-2019,CBS,563,39.41,39.68,38.84,39.380001,6753000,39.380001,None
11-11-2019,SPY,568,311.529999,312.279999,311.029999,312.019989,49228000,308.678314,None
11-11-2019,CBS,573,38.400002,39.349998,37.880001,39.34,7007800,39.34,None
11-11-2019,LGF-B,578,9.01,9.12,8.85,8.99,786300,8.99,None
11-07-2019,BOIVF,583,4.41,4.46,4.36,4.4,11600,4.4,None
11-04-2019,RTN,595,215.089996,217.199997,214.779999,216,624300,215.10527,None
11-12-2019,MA,600,281.519989,286.579987,280.940002,285.309998,3013800,284.489929,None
11-05-2019,XOM,606,70.269997,70.410004,68.980003,69.370003,13918600,67.08741,None
10-31-2018,BBT,612,70.269997,70.410004,68.980003,69.370003,13918600,67.08741,"Error in getSymbols.yahoo(Symbols = ""BBT"", env = <environment>, verbose = FALSE,  : 
  Unable to import “BBT”.
BBT download failed after two attempts. Error message:
HTTP error 404.
"
10-23-2019,NFLX,639,284.339996,293.48999,283,291.450012,9345600,291.450012,None
10-29-2019,DIS,644,132.770004,132.770004,130.889999,131.449997,7404500,130.66713,None
