date,ticker,id,Open,High,Low,Close,Volume,Adjusted,Error_message
03-11-2020,SIEGY,5,33.009998,33.939999,32.099998,33.099998,532000,33.099998,None
03-31-2020,MU,12,48.09,48.369999,46.040001,46.540001,34646400,46.540001,None
03-02-2020,DD,17,36.970001,37.93,35.009998,35.150002,16269500,35.150002,None
03-03-2020,KR,22,31.299999,32.75,31.18,32.599998,16506300,32.599998,None
03-04-2020,URBN,27,16.709999,16.99,15.51,15.84,3863800,15.84,None
03-05-2020,BRK-B,32,183.600006,187.669998,175,175.970001,22293800,175.970001,None
03-06-2020,BRK-B,38,187.449997,196.5,178.410004,196.399994,14859100,196.399994,None
03-10-2020,FOXA,44,24.370001,25.58,22.92,25.139999,7751200,25.139999,None
03-13-2020,KR,49,34.25,34.25,31.030001,31.77,21979200,31.77,None
03-16-2020,KR,54,31.780001,32.720001,30.77,31.08,13199900,31.08,None
03-16-2020,RF,59,8.13,8.35,7.6,7.72,17459500,7.72,None
03-17-2020,LYV,64,41.240002,43.490002,40.529999,42.939999,6404900,42.939999,None
03-17-2020,FHB,69,16.459999,16.91,15.8,16.49,1544200,16.49,None
03-17-2020,WFC,74,26.959999,29.17,26.33,28.92,48630300,28.344084,None
03-18-2020,KR,79,29.99,30.190001,27.82,27.940001,20521000,27.940001,None
03-18-2020,CDLX,84,40.490002,44.84,38.619999,41.639999,1531700,41.639999,None
03-19-2020,KR,89,28,29.18,27.33,29,18238900,29,None
03-20-2020,MSM,94,50.119999,53.07,49.220001,51.93,467400,51.283138,None
03-23-2020,BAC,99,21.65,22.35,21.27,22.040001,80449100,22.040001,None
03-23-2020,RL,104,67.75,72.279999,67.220001,71.260002,1195300,71.260002,None
03-26-2020,NFLX,109,364.079987,370.98999,360.059998,370.079987,4592500,370.079987,None
03-27-2020,ORCL,114,49.299999,50.049999,48.950001,49.400002,13362500,49.166431,None
03-27-2020,SBUX,119,64.470001,64.75,60.900002,63.049999,14676500,62.695686,None
03-24-2020,VZ,125,54.07,54.540001,53.549999,53.73,21251800,53.158306,None
03-27-2020,CVS,130,55.220001,56.599998,54.349998,55.720001,8793000,55.257595,None
03-24-2020,CSCO,136,40.130001,40.419998,39.110001,39.310001,26014200,38.940796,None
02-21-2020,BABA,141,198.979996,208.919998,198.561005,208,31276200,208,None
03-10-2020,CVX,146,70.400002,72.980003,65.489998,70.690002,22684200,70.690002,None
03-09-2020,HIG,151,36.5,37.119999,32.349998,33.5,6291700,33.5,None
03-04-2020,BP,156,25.540001,25.790001,24.370001,24.66,28811600,24.014288,None
03-10-2020,BKNG,161,1309.560059,1370.52002,1252.910034,1368.26001,1080100,1368.26001,None
03-03-2020,LULU,166,206.369995,206.990005,197.110001,204.119995,2274000,204.119995,None
02-26-2020,AZO,171,1040,1063.25,1008.669983,1058.23999,501200,1058.23999,None
02-24-2020,AMZN,176,1906.48999,1954.51001,1870,1953.949951,6761700,1953.949951,None
03-11-2020,ICE,181,72.720001,73.580002,66.040001,70.080002,8145300,70.080002,None
02-13-2020,WM,186,124.739998,125.279999,123.190002,124.050003,2352800,123.487968,None
03-26-2020,XOM,191,38.740002,41.959999,37.900002,40.400002,62000200,39.631573,None
03-20-2020,V,197,161.080002,167.100006,158.149994,161.559998,14950700,161.289932,None
03-20-2020,AAPL,202,252.75,255.869995,247.050003,247.740005,51054200,247.071182,None
03-02-2020,NFLX,207,343.859985,357.470001,341.720001,346.48999,7405500,346.48999,None
03-09-2020,MDT,212,80.529999,83.440002,76.300003,77.43,10210000,76.948402,None
03-09-2020,T,217,31,33.889999,30.92,31.809999,58776600,31.260092,None
03-09-2020,DOW,222,23.1,25.43,21.950001,22,12345400,22,None
02-20-2020,BAM,228,41.333332,41.846668,40.400002,40.546665,5250600,40.546665,None
01-14-2020,UL,234,57.630001,57.860001,57.41,57.860001,993000,57.423759,None
01-30-2020,AZO,241,1075.26001,1081.839966,1061.689941,1062.310059,278500,1062.310059,None
01-27-2020,REZI,246,10.25,10.28,10.03,10.1,1338400,10.1,None
02-14-2020,CTXS,254,119.010002,119.919998,115.839996,116.080002,1740000,115.71109,None
02-10-2020,FNKO,259,119.010002,119.919998,115.839996,116.080002,1740000,115.71109,"Error in getSymbols.yahoo(Symbols = ""FNKO"", env = <environment>, verbose = FALSE,  : 
  Unable to import “FNKO”.
FNKO download failed after two attempts. Error message:
HTTP error 404.
"
02-07-2020,FNKO,264,9.5,9.88,9.44,9.71,1264600,9.71,None
02-06-2020,AZO,269,1057.689941,1071.849976,1057.689941,1066.550049,240200,1066.550049,None
02-05-2020,EMR,274,74.550003,75.580002,74.300003,75.400002,3358000,74.900002,None
02-11-2020,NVDA,282,285.640015,297.309998,284.859985,296.570007,15504100,296.392731,None
02-22-2020,BSTZ,287,285.640015,297.309998,284.859985,296.570007,15504100,296.392731,"Error in getSymbols.yahoo(Symbols = ""BSTZ"", env = <environment>, verbose = FALSE,  : 
  Unable to import “BSTZ”.
BSTZ download failed after two attempts. Error message:
HTTP error 404.
"
02-28-2020,DVN,296,15.16,15.22,13.01,13.37,13648400,13.22692,None
02-27-2020,DD,301,42.630001,43.75,42.27,42.419998,8795200,42.419998,None
02-27-2020,DD,306,42.630001,43.75,42.27,42.419998,8795200,42.419998,None
02-26-2020,PFE,311,35.099998,36.459999,34.950001,36.400002,36728800,36.040821,None
02-26-2020,PFE,316,35.099998,36.459999,34.950001,36.400002,36728800,36.040821,None
02-26-2020,DIS,322,118.959999,119.239998,115.480003,119.18,13842100,119.18,None
02-25-2020,T,327,37.259998,37.959999,35.869999,36.299999,63808000,35.67247,None
02-25-2020,CZR,332,12.38,12.67,11.96,11.97,30533000,11.97,None
02-24-2020,VIAC,337,24.75,24.799999,23.27,24.309999,18892200,23.948513,None
02-24-2020,T,342,35.369999,37.419998,35.290001,37.18,68432800,36.537262,None
02-10-2020,TRGP,347,35.369999,37.419998,35.290001,37.18,68432800,36.537262,"Error in getSymbols.yahoo(Symbols = ""TRGP"", env = <environment>, verbose = FALSE,  : 
  Unable to import “TRGP”.
TRGP download failed after two attempts. Error message:
HTTP error 404.
"
02-11-2020,AAPL,352,315.359985,319.75,314.609985,319,38132800,318.138794,None
02-19-2020,TRGP,357,36,36.389999,34.419998,34.740002,3200100,34.455715,None
02-19-2020,LNG,362,49.73,50.73,47.630001,48.27,4472600,48.27,None
02-20-2020,OKE,367,71.870003,72,67.269997,67.550003,7202200,65.387016,None
02-21-2020,VIAC,372,23.73,25.32,23.389999,24.610001,22720200,24.244053,None
01-27-2020,DHR,381,162,163.119995,160.509995,161,2997500,160.775909,None
01-14-2020,GS,390,247.210007,248.850006,245.600006,245.699997,2492400,244.206848,None
01-31-2020,ROST,397,118.019997,118.029999,116.540001,117.43,1059000,117.069473,None
01-29-2020,CMCSA,402,44.650002,45.139999,44.48,44.59,20332100,44.301025,None
01-13-2020,ENTG,411,44.650002,45.139999,44.48,44.59,20332100,44.301025,"Error in getSymbols.yahoo(Symbols = ""ENTG"", env = <environment>, verbose = FALSE,  : 
  Unable to import “ENTG”.
ENTG download failed after two attempts. Error message:
HTTP error 404.
"
01-29-2020,AXTA,416,29.959999,29.959999,29.73,29.870001,1493800,29.870001,None
01-24-2020,WPX,421,11.85,12.01,11.71,11.95,6782400,11.95,None
01-21-2020,URBN,426,26.26,26.870001,26.15,26.75,1381900,26.75,None
01-10-2020,ENTG,431,55.389999,56.330002,55.049999,56.23,1514300,56.060085,None
01-13-2020,KSS,439,55.389999,56.330002,55.049999,56.23,1514300,56.060085,"Error in getSymbols.yahoo(Symbols = ""KSS"", env = <environment>, verbose = FALSE,  : 
  Unable to import “KSS”.
KSS download failed after two attempts. Error message:
HTTP error 404.
"
01-06-2020,NVDA,444,247.660004,252.990005,246.75,251.979996,7996000,251.829361,None
01-13-2020,PG,455,247.660004,252.990005,246.75,251.979996,7996000,251.829361,"Error in getSymbols.yahoo(Symbols = ""PG"", env = <environment>, verbose = FALSE,  : 
  Unable to import “PG”.
PG download failed after two attempts. Error message:
HTTP error 404.
"
01-02-2020,ENTG,472,52.080002,52.34,51.650002,52.189999,569800,52.032291,None
12-31-2019,KMI,477,21.34,21.35,21.09,21.33,14736900,20.71701,None
12-19-2019,URBN,482,27.219999,28.209999,27.219999,28.139999,1478700,28.139999,None
12-16-2019,LNG,487,61.209999,62.669998,61.009998,62.599998,1911400,62.599998,None
12-10-2019,PAA,492,17.709999,18.42,17.709999,18.110001,6393100,17.381363,None
12-05-2019,ALB,497,65.699997,68.199997,65.599998,68.019997,1771700,67.646263,None
12-31-2019,SLB,502,40.529999,40.610001,39.73,40.610001,10971700,40.018879,None
12-23-2019,GTX,507,10.2,10.3,10,10.05,389700,10.05,None
12-19-2019,IBM,517,134.979996,135.309998,134.649994,134.910004,2129700,131.748901,None
03-01-2019,DHR,523,123.739998,125.150002,123.5,125.040001,2369100,124.266884,None
12-04-2019,WFC,542,53.740002,53.98,53.07,53.169998,16834200,51.561039,None
11-29-2019,URBN,550,25.76,26.51,25.76,26.120001,2559800,26.120001,None
11-20-2019,ALB,555,65.730003,65.940002,64.739998,65.5,930000,64.775078,None
11-14-2019,GPK,560,16.059999,16.17,15.96,16.02,3683600,15.856566,None
11-11-2019,BOIVF,565,4.39,4.4,4.32,4.38,39100,4.38,None
11-11-2019,CBS,570,38.400002,39.349998,37.880001,39.34,7007800,39.34,None
11-11-2019,FDX,575,157.130005,157.720001,154.5,157.550003,1794200,156.099899,None
11-08-2019,ALB,580,66.099998,67.370003,65.620003,66.139999,1028800,65.407997,None
11-06-2019,BOIVF,585,4.48,4.48,4.38,4.42,158900,4.42,None
11-04-2019,TSM,597,52.389999,52.75,52.16,52.599998,4046500,51.744175,None
11-04-2019,NOC,602,348.600006,351.730011,347.420013,350,547100,347.423676,None
11-04-2019,XOM,608,70.209999,70.610001,69.970001,70.339996,8674000,68.02549,None
10-15-2019,MSFT,634,138.970001,140.009995,136.259995,136.369995,27431000,135.537338,None
10-28-2019,AAPL,641,257.329987,257.850006,255.380005,257.5,25818000,255.429932,None
10-31-2019,ALB,646,67.639999,72.279999,67,71.389999,3003500,70.599892,None
09-30-2019,PG,651,123.529999,123.889999,122.68,122.839996,4749700,120.535545,None
09-30-2019,PEP,656,139.289993,139.610001,137.970001,138.339996,4273300,136.456375,None
09-30-2019,ORCL,661,55.07,55.360001,54.75,54.799999,12352100,54.058105,None
09-30-2019,SYY,666,77.849998,78.43,77.440002,78.220001,1810900,76.97226,None
10-02-2019,IP,671,38.950001,39.52,38.740002,39.310001,2928100,38.403187,None
