,owner,asset_description,asset_type,type,amount,comment,senator,ptr_link,id,min_amount,max_amount,Open,High,Low,Close,Volume,Adjusted,Error_message_x,transaction_date,ticker,o_c_perc,h_l_perc,Error_message_y,1_Week_O,1_Week_C,1_Week_H,1_Week_L,1_Week_V,1_Week_A,1_Week_o_p,1_Week_c_p,Error_message,1_Month_O,1_Month_C,1_Month_H,1_Month_L,1_Month_V,1_Month_A,1_Month_o_p,1_Month_c_p
0,Self,"Illumina, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/469d1b8f-262c-4cdc-9052-2f76ce33c2bc/,3,1001,15000.0,261.429993,263.929993,241.47000099999997,246.00999500000003,1860200.0,246.00999500000003,None,03/11/2020,ILMN,0.05898327817344198,-0.09301359136533097,None,214.419998,209.199997,224.99000499999997,196.779999,1885500.0,209.199997,0.17981867520457007,0.14962805881118785,None,281.619995,280.98999,283.410004,276.170013,1430400.0,280.98999,-0.07722909589795993,-0.142189324462203
1,Self,Cognex Corporation,Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/469d1b8f-262c-4cdc-9052-2f76ce33c2bc/,4,15001,50000.0,41.0,41.099998,38.91,39.400002,1611100.0,39.400002,None,03/11/2020,CGNX,0.039024341463414616,-0.05628368028784382,None,43.099998,45.990002000000004,48.810001,41.669998,2195700.0,45.990002000000004,-0.05121946341463413,-0.16725887475843285,None,44.580002,45.630001,46.040001000000004,44.23,774600.0,45.630001,-0.08731712195121952,-0.15812179400396983
2,Self,Siemens Aktiengesellschaft,Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/469d1b8f-262c-4cdc-9052-2f76ce33c2bc/,5,15001,50000.0,45.700001,45.889998999999996,44.09,44.389998999999996,428600.0,44.389998999999996,None,03/11/2020,SIEGY,0.02866525101388957,-0.040825561351780275,None,33.009997999999996,33.099998,33.939999,32.099998,532000.0,33.099998,0.2776805847334665,0.25433659054599206,None,44.32,44.529999,44.790001000000004,43.75,344900.0,44.529999,0.03019695776374272,-0.003153863553815367
3,Joint,WCM Focused International Growth Fund Institutiona,Other Securities,Purchase,"$50,001 - $100,000","The filer's portfolio is managed by a third party investment professional. The filer was advised of these transactions on April 7, 2020. This activity is part of an ongoing long-term portfolio diversification strategy that regularly includes similar transactions.",Daniel S Sullivan,https://efdsearch.senate.gov/search/view/ptr/eb7f09d1-cd5b-48b5-a073-89dfe1a14f1c/,6,50001,100000.0,17.98,17.98,17.98,17.98,0.0,17.98,None,02/27/2020,WCMIX,0.0,0.0,None,18.26,18.26,18.26,18.26,0.0,18.26,0.015572858731924424,0.015572858731924424,None,16.17,16.17,16.17,16.17,0.0,16.17,-0.10066740823136812,-0.10066740823136812
4,Joint,RPM International Inc.,Stock,Sale (Partial),"$50,001 - $100,000","The filer's portfolio is managed by a third party investment professional. The filer was advised of these transactions on April 7, 2020. This activity is part of an ongoing long-term portfolio diversification strategy that regularly includes similar transactions.",Daniel S Sullivan,https://efdsearch.senate.gov/search/view/ptr/eb7f09d1-cd5b-48b5-a073-89dfe1a14f1c/,7,50001,100000.0,68.18,69.150002,66.040001,66.08000200000001,632300.0,66.08000200000001,None,02/27/2020,RPM,0.03080079202112055,-0.04709268553766371,None,68.129997,67.870003,68.610001,66.66999799999999,568500.0,67.870003,0.0007333968905838045,-0.02708839203727611,None,59.080002,61.48,61.919998,58.200001,1093400.0,61.48,0.13347019653857445,0.069612618958456
5,Self,Brookfield Asset Management Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/7d096cf3-d20a-41fe-b493-f758a829a6ce/,8,1001,15000.0,29.34,30.286666999999998,25.440001000000002,25.766666,5303300.0,25.766666,None,03/20/2020,BAM,0.1217905248807089,-0.19051359314018876,None,27.733334000000003,28.18,29.313334,26.913334000000003,5249300.0,28.18,0.05476025903203807,-0.09366108909860511,None,34.07,33.779999,34.330002,33.060001,2080100.0,33.779999,-0.1612133605998637,-0.31099611412667805
6,Self,Citigroup Inc.,Stock,Sale (Full),"$50,001 - $100,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/7d096cf3-d20a-41fe-b493-f758a829a6ce/,9,50001,100000.0,54.310001,55.610001000000004,51.0,51.369999,35625600.0,50.830486,None,03/09/2020,C,0.05413371286809587,-0.09039217647058831,None,40.490002000000004,41.189999,45.23,39.57,35133800.0,40.757401,0.2544650846167356,0.19817014207066658,None,39.799999,41.119999,41.34,39.509997999999996,30064700.0,40.688137,0.26716998219167776,0.19953280513009158
7,Joint,"Micron Technology, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,12,1001,15000.0,44.400002,45.169998,41.91,42.060001,36723700.0,42.060001,None,03/31/2020,MU,-0.05270272285122872,0.07778568360773093,None,48.09,46.540001000000004,48.369999,46.040001000000004,34646400.0,46.540001000000004,0.08310805931945685,0.10651450055838096,None,46.209998999999996,45.310001,47.689999,45.279999,25234900.0,45.310001,0.04076569636190547,0.07727056402114683
8,Joint,"Merck &amp; Co., Inc.",Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,13,15001,50000.0,76.25,77.599998,75.519997,76.940002,14389000.0,76.940002,None,03/31/2020,MRK,-0.00904920655737714,-0.02754238721699096,None,81.68,78.559998,81.970001,78.400002,10169800.0,78.559998,-0.07121311475409844,-0.021055315283199316,None,81.18,81.18,82.230003,80.16999799999999,19345000.0,81.18,-0.06465573770491813,-0.05510784884045102
9,Joint,News Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,14,1001,15000.0,8.66,8.82,7.92,8.14,2210200.0,8.14,None,03/23/2020,NWS,-0.06004618937644337,0.11363636363636369,None,8.42,8.86,8.92,8.19,1490800.0,8.86,-0.027713625866050834,0.08845208845208831,None,8.95,9.02,9.11,8.86,481600.0,9.02,0.03348729792147796,0.10810810810810798
10,Joint,"WPX Energy, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,15,1001,15000.0,9.5,9.52,8.74,9.08,13645800.0,9.08,None,03/02/2020,WPX,-0.044210526315789464,0.08924485125858116,None,4.51,3.52,4.54,3.08,42831500.0,3.52,-0.5252631578947369,-0.6123348017621146,None,3.01,2.81,3.03,2.47,20422300.0,2.81,-0.6831578947368421,-0.6905286343612335
11,Joint,"DuPont de Nemours, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,17,1001,15000.0,43.060001,44.990002000000004,42.509997999999996,44.950001,9803300.0,44.950001,None,03/02/2020,DD,0.043892242362000886,0.05833931114275772,None,36.970001,35.150002,37.93,35.009997999999996,16269500.0,35.150002,-0.14143055872200272,-0.218019995149722,None,33.290001000000004,33.619999,33.799999,32.099998,6377800.0,33.619999,-0.22689270258029015,-0.25205788093308384
12,Joint,Caesars Entertainment Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,18,1001,15000.0,12.71,12.79,12.04,12.4,44312800.0,12.4,None,03/02/2020,CZR,0.024390243902439063,-0.06229235880398672,None,10.2,10.04,10.65,9.98,39709600.0,10.04,0.1974822974036193,0.1903225806451614,None,6.55,6.42,6.62,5.99,20631500.0,6.42,0.48465774980330456,0.48225806451612907
13,Joint,Bank of America Corporation,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,20,15001,50000.0,28.35,29.379998999999998,27.440001000000002,29.370001000000002,147776300.0,29.183785999999998,None,03/02/2020,BAC,-0.03597887125220461,-0.07069963299199572,None,22.23,21.93,23.49,21.51,145196000.0,21.93,0.2158730158730159,0.25331973941710123,None,21.65,22.040001,22.35,21.27,80449100.0,22.040001,0.2363315696649031,0.24957438714421568
14,Joint,Bank of America Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,23,1001,15000.0,28.25,28.42,27.4,28.389999,111239800.0,28.209999,None,03/04/2020,BAC,-0.004955716814159275,-0.03722627737226289,None,22.84,22.67,23.959999,22.26,127347000.0,22.67,0.19150442477876106,0.2014793660260431,None,19.93,19.77,20.35,19.51,83961300.0,19.77,0.2945132743362832,0.3036280135127867
15,Joint,"Urban Outfitters, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,25,1001,15000.0,21.5,22.43,20.799999,21.4,6350400.0,21.4,None,03/04/2020,URBN,-0.00465116279069774,0.07836543645987676,None,16.709999,15.84,16.99,15.51,3863800.0,15.84,-0.22279074418604652,-0.2598130841121495,None,13.62,13.17,13.94,12.9,1849000.0,13.17,-0.3665116279069768,-0.3845794392523364
16,Joint,"Urban Outfitters, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,26,1001,15000.0,21.5,22.43,20.799999,21.4,6350400.0,21.4,None,03/04/2020,URBN,-0.00465116279069774,0.07836543645987676,None,16.709999,15.84,16.99,15.51,3863800.0,15.84,-0.22279074418604652,-0.2598130841121495,None,13.62,13.17,13.94,12.9,1849000.0,13.17,-0.3665116279069768,-0.3845794392523364
17,Joint,"Urban Outfitters, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,27,1001,15000.0,21.5,22.43,20.799999,21.4,6350400.0,21.4,None,03/04/2020,URBN,-0.00465116279069774,0.07836543645987676,None,16.709999,15.84,16.99,15.51,3863800.0,15.84,-0.22279074418604652,-0.2598130841121495,None,13.62,13.17,13.94,12.9,1849000.0,13.17,-0.3665116279069768,-0.3845794392523364
18,Joint,General Motors Company,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,28,1001,15000.0,31.0,31.57,30.360001,31.530001000000002,16227800.0,31.150002,None,03/04/2020,GM,0.017096806451612972,0.0398550382129434,None,26.0,26.0,26.620001000000002,25.76,21309700.0,26.0,-0.16129032258064516,-0.17538854502415022,None,19.5,19.26,20.17,18.99,17467100.0,19.26,-0.3709677419354839,-0.38915320681404353
19,Joint,"Urban Outfitters, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/0b6c2641-eca3-4bdf-9c14-9208c0239a1b/,30,1001,15000.0,20.74,20.77,19.43,19.73,3896300.0,19.73,None,03/05/2020,URBN,-0.048698167791706756,0.06896551724137931,None,14.6,14.62,14.69,13.64,3833900.0,14.62,-0.29604628736740596,-0.2589964521033959,None,13.1,13.08,13.81,12.84,2587500.0,13.08,-0.3683702989392478,-0.33705017739483023
